question,ans1,ans2,ans3
So why is it asking us that?,I don't follow,"It's an incorrect answer, no?",Is it? I don't know
"It's an incorrect answer, no?",Is it? I don't know,In the screenshot e) is explicitly marked as the correct answer,I'm asking why. Technically the computer thinks its correct
Is it? I don't know,In the screenshot e) is explicitly marked as the correct answer,I'm asking why. Technically the computer thinks its correct,"but can't it still be an upperbound? I thought big Theta was used to talk about a strict upper bound, so in this cause big Theta would be theta(n)"
"but can't it still be an upperbound? I thought big Theta was used to talk about a strict upper bound, so in this cause big Theta would be theta(n)",I don't think we're on the same page here. e) has nothing to do with O(n) vs O(n^2) as your per-operation upper bound.,True. Why are b and d not correct?,See this above explanation
True. Why are b and d not correct?,See this above explanation,Big theta is the tight bound of a function. I'm not sure what this has to do with Big-O here in this case but I suppose technically it's AN upperbound and they're kind of used interchangeably here,"For answer b, why can't O(n) be an upperbound for all the O(1) and O(n)?"
"For answer b, why can't O(n) be an upperbound for all the O(1) and O(n)?","Is there a list anywhere of all the terms we need to know? I took Math213 instead of CS173 and it seems like a lot of the terms are just called different things or done differently, so I don't want to miss anything",One of the things going on here is that while big-O is in math an upper bound that is not how it is used in CS really. Sometimes we are ideal in the wording of the questions. That is you could say that mergesort is O(n!) and a math prof would say fine and in a theory class someone might say ok but that is not how it it is used.,We use it more as this is the best big-O we can find.
"Is there a list anywhere of all the terms we need to know? I took Math213 instead of CS173 and it seems like a lot of the terms are just called different things or done differently, so I don't want to miss anything",One of the things going on here is that while big-O is in math an upper bound that is not how it is used in CS really. Sometimes we are ideal in the wording of the questions. That is you could say that mergesort is O(n!) and a math prof would say fine and in a theory class someone might say ok but that is not how it it is used.,We use it more as this is the best big-O we can find.,"Because the question specifies that insert is O(n) on EACH operation. Insert IS O(n) in the worst case, but it is incorrect to say that it is O(n) is on every case."
Is this problem referring to an array or stack or both or are they the same?,See this page https://courses.engr.illinois.edu/cs225/fa2021/exams/exam1/,https://courses.engr.illinois.edu/cs225/fa2021/exams/exam1/ the recomended chapters are linked.,"There's not a list of terms, but this has all of the CS173 information that you need to know"
I get why e is correct. Is b or d correct?,B is correct. See the proof which was done in class about this specific problem if you need more context as to why,what operations are iterators guaranteed to supply?,operator++ operator!= and operator*
what operations are iterators guaranteed to supply?,operator++ operator!= and operator*,👍 thanks,We have A and C being the correct answers here right?
We have A and C being the correct answers here right?,yes,Correct,"Amortized = the usual case scenario, worst case being when the whole array needs to be copied, which is O(3N)?"
"Amortized = the usual case scenario, worst case being when the whole array needs to be copied, which is O(3N)?",Amortized is still the worst case scenario.,"Even in the worst case scenario, you only have an O(n) operation happen sometimes.","so wait, what's the difference then between those two?"
"so wait, what's the difference then between those two?","Amortized is saying ""hey we have this operation which over a sequence of operations is O(1) most of the time but is very infrequently O(n)""","It's kind of like evaluating the average runtime over an entire sequence of operations, where that sequence of operations is considered one giant worst case. Even in worst case we end up in a scenario where only some of our insertions are O(n)",ok I gotchu
how do three different values get stored into i here?,"Line 1, 4, and 5",1: i is initialized with 0,4: i is set to 2
"for question 13, is none of the statements true??",i thought the runtime is O(1) for removing at the end,the question is how do you get to the end if you don't have a tail pointer?,that's kind of the logic I used for this problem
the question is how do you get to the end if you don't have a tail pointer?,that's kind of the logic I used for this problem,"yeah if you dont have a tail pointer, you need to go through the list until you get to the end. so i thought the answer would be II and IV","but the thing is since singly-linked lists can never go backwards, even if you delete the last node at the tail, you need to make the second to last element the new tail"
Wait I thought IV is correct? Why would the answer be none of the other options is correct?,I’m still confused about this answer,"i think 4 is correct, but none of the options are just 4 so youre saying none of the options are correct","none of the options refers to the choices you can pick in the answer, not to 1,2,3,4 directly"
"Why aren't all 3 statements correct?  I am confident (d) and (e) are correct because we went over that in lecture, but isn't (a) also correct?  Like this implementation is faster than the +2 resize one, but it uses more memory?","True, but lines B and D aren't going to help that",The line above B could be changed to use less memory,lmfao
Is big O in this class like big Theta I learned in MATH 213?  So like best case rather than upper bound?,Could anyone please explain this one?,lol i just used n=4 and plugged in numbers,XD
Could anyone please explain this one?,lol i just used n=4 and plugged in numbers,XD,"Big O is used to describe asymptotic upper bound, Big Ω is is used to describe asymptotic lower bound, and Big Θ is used to describe kind of the average"
"I’m confused as to how to get 16, does grow 2 or grow 3 not increment x or y?",grow1 changes the value of y and grow2 and grow3 change the values of x and y,"after grow1, x= 0, y =2. after grow2, x = 2, y = 4, and after grow3, x = 6, y = 10","i believe, anyone lmk if i messed up any of the values pls"
Why does x not change in grow1?,"because you pass it in by value, the original variable does not change unless you pass it  in as a reference or a pointer",The function grow1 returns the x+y and changes nothing then that is added to y so at that point y is 2.,bc the value is a copy?
bc the value is a copy?,Right,That makes sense,But in grow2 and grow3 you are also updating x since they are passed by pointer and then reference.
Why aren't the ones with a tail pointer O(1)?,"the doubly linked list is. for the singly linked list, we need to traverse the whole array to find the element before the tail, which is why it's O(n)",So in the case of IV it is O(1),but there is no choice with IV its own.
Whats amortized time complexity?,is it just whatever nonamortized is and then divide by n lol,If something is O(1) then it takes O(1) each time. If something amortized O(1) then if you do it n times it will be O(n)  but it does not say what will happen each time. It is different from expected since in expected O(1) running n times you expect to be O(n) but might be more or less.,"for amortized, do we assume n is large?"
"for amortized, do we assume n is large?",or do we not have to?,is it exact for any n?,For anything wrapped in big O you get to assume n is large.
or do we not have to?,is it exact for any n?,For anything wrapped in big O you get to assume n is large.,Amortized does not have to be big O. In fact in the array list implementation you don't actually need big O just amortized.
is it exact for any n?,For anything wrapped in big O you get to assume n is large.,Amortized does not have to be big O. In fact in the array list implementation you don't actually need big O just amortized.,Does tightest running time mean smallest running time
and amortized is the O with a * right?,"Roughly, it is more saying that you have to give the big O that is the closed to possible.",That is what I have used in lecture but there is no standard symbol for amortized.,If u are inserting an item into a list why is that O(1)
"not a topical question, but for the exam, we just walk into the building, swipe our icard, go to our computer, and log onto prairielearn right?",For the intents and purposes of what you're working with consider the tight bound to be the minimal (smallest possible) upper bound of your function,Here is the info on their website https://ae3.engineering.illinois.edu/grainger-exam-services/cbtf/students/policies/,Essentially. There will be proctors that will tell you what to do when you get there but the process that you described is basically how a CBTF exam works
and we don't bring anything other than our icard right?,It is a strange time and yes you should not have/need anything else.,"You can bring anything with you, but you're required to put your bag and all non-writing utensil related items away in a separate area as you're starting the exam","might be good to bring a pencil, they don't always have them in my experience"
Anybody know what lecture the index helper was in?,September 17  lecture 11,"Inspired by this question, how do I know if it is a Run-time error or a complier error?",The probably unhelpful answer is if it happens when you compile it is compile-time and if it happens when your run the program it is run time.
"Inspired by this question, how do I know if it is a Run-time error or a complier error?",The probably unhelpful answer is if it happens when you compile it is compile-time and if it happens when your run the program it is run time.,"Hopefully somewhat more helpful is that if it is an error in the use of the language syntax, types, or protections it will be compile time but if it is about the values in variables or the actual flow of execution it is run time.",What do I do if all cbtf slots are full for the exam days?
What do I do if all cbtf slots are full for the exam days?,I probably shouldn't have waited this long to make a reservation but also I did so 😬,Contact them and see what they can do.,Okay thanks
"If it's a singly linked list, how can we access elements from the end?",you start from the front and keep going until u reach the 8th to last element,and we are saying that the size of the list is much bigger than 8,the answer is A btw
if you're going through the nodes 1 by 1 wouldn't it be O(n)?,for the first case I mean,i think in this case its 1 bc 8 is small,:pika:
What's the difference between amortized running time and regular running time?,"The idea here is that when you're finding the 8th node from the front you **always **have to progress by 8 nodes until you find what you need, regardless of the size of your linked list. In other words, O(8) is always your run time. Formally, O(8) = O(1) since they're both constant terms.

In a singly linked list (meaning you can't progress backwards from a tail node), the size of your problem is scaled by the size of your list. Every single time you find the 8th node from the end, you have to traverse through n - 8 nodes since you can't start from the back, meaning that the total number of nodes you have to traverse is variable. This means that you have O(n) runtime since your runtime scales linearly by the size of your linked list.",@willyt123 see here,Thank you!
Do these tests get curved at all?,nah,consider that if you take a 0 on this exam and have all possible extra credit points and perfect on everything else you can have a 1000,In the last at least 5 year we have not had a curve on this course.
I'm pretty sure that A is correct because we went over that doubling the size of an array is the most efficient. What other option would be correct? I think it might be C but I am not entirely sure what the other option would be,👍,that makes more sense,"I'm pretty sure this is solved by unrolling, but how would that process look? I looked at the CS173 book but I'm still pretty unsure"
"I'm pretty sure this is solved by unrolling, but how would that process look? I looked at the CS173 book but I'm still pretty unsure",there was a good discussion up here https://discord.com/channels/691691696605626428/892147061712101426/892465711912456212,"Thanks, that helped a ton",Are we allowed scratch paper?
Are we allowed scratch paper?,yes,isn't this cbtf?,they have trays of paper for you to take if you want
isn't this cbtf?,they have trays of paper for you to take if you want,can someone explain this question?,"At each step, you divide the problem into two problems of half the size (= `new_n = n/2`, two `S(new_n)` calls), where the dividing and merging each take time proportional to the size of the problem (= includes an overhead of `n` every step)"
can someone explain this question?,"At each step, you divide the problem into two problems of half the size (= `new_n = n/2`, two `S(new_n)` calls), where the dividing and merging each take time proportional to the size of the problem (= includes an overhead of `n` every step)",so `2S(n/2) + n`,Can you please explain me why E is correct? Is that because the runtime of each push is O(1) and we are doing it for n times?
Can you please explain me why E is correct? Is that because the runtime of each push is O(1) and we are doing it for n times?,it is provided,"up to 2 sheets, must be destroyed/disposed of prior to leaving the CBTF",can someone explain this q?
can someone explain this q?,consider it's just an empty list,"and you just add the first and the second one, and that's basically an integer value runtime",which well would be O(2) which is basically O(1)
can someone explain this?,"I think a and b are correct, just wanna make sure","can someone explain this too, I think it should be C in which D and E are both correct",correct
uh why? is it because sticking it into a regular array would take O(1) time (To just stick it in the position and ignore if there is stuff there or not) or because you would need to move the other items which would take O(n) time and when u amortize something u drop it down a level so itd be O(1)?,"@DarthVedha you can just take whatever's in position 42 and move it to the end, then put your new thing in 42","and then now it's just the problem of inserting at the end of an array, which we went over is O(1) amortized",ah and if we r using an array we automatically know the end. Which makes sense. thanks!
How would u be able to access the 8th element from a singly linked list in O(1) time?,https://discord.com/channels/691691696605626428/892147061712101426/892564528666116116,cool thanks,"Whenever we are finding the tightest time complexity, does the left side one always need to be faster? Ex) O(1) and O(n).  Or is it possible to be O(n) and O(1)?"
"Whenever we are finding the tightest time complexity, does the left side one always need to be faster? Ex) O(1) and O(n).  Or is it possible to be O(n) and O(1)?",I think it's finding the 8th and 8th to last respectively,if you're referring to that question,i like these addresses
"if you have  tail pointer, why is deleting from the end of the list not O(1)?","also, does setting a value in an array take O(n) time? like if I know the index already, like `array[index] = x;`",shouldnt it only take O(1) time since i know the index?,"if its a singly linked list you have to iterate through the entire list in order to set the new tail so its O(n), but if its doubly, you can use the prev iterator to set the new tail so it is O(1) i think"
"also, does setting a value in an array take O(n) time? like if I know the index already, like `array[index] = x;`",shouldnt it only take O(1) time since i know the index?,"if its a singly linked list you have to iterate through the entire list in order to set the new tail so its O(n), but if its doubly, you can use the prev iterator to set the new tail so it is O(1) i think",Ohh I see
shouldnt it only take O(1) time since i know the index?,"if its a singly linked list you have to iterate through the entire list in order to set the new tail so its O(n), but if its doubly, you can use the prev iterator to set the new tail so it is O(1) i think",Ohh I see,"could someone help me understand this, i kept getting 21 as the output"
isn't O(n/2) big omega of O(n)?,I think for big O we throw out coefficients yeah nvm,how do you get O(1)?,8th element is really small so its O(8) which becomes O(1)
how do you get O(1)?,8th element is really small so its O(8) which becomes O(1),oh since it's always 8 you just plug it in,Yep
which of these two is correct?,I know a is correct but what's the other one,c,is it c?
is it c?,o,why exactly?,Think about looping once through a size of n that's just O(n)
why exactly?,Think about looping once through a size of n that's just O(n),?,It's like the question you sent before with O(8) becomes O(1) now it's going through n pushes which is O(n)
?,It's like the question you sent before with O(8) becomes O(1) now it's going through n pushes which is O(n),"the first push allocates 100, and copies an empty array of 100, but for n = 2, 3 4 until 100 it's just O(1) right?",oh it's saying the run time of all of those pushes combined is O(n)
"the first push allocates 100, and copies an empty array of 100, but for n = 2, 3 4 until 100 it's just O(1) right?",oh it's saying the run time of all of those pushes combined is O(n),even though each push is O(1),Is the practice exam on pl the only practice we have?
Is the practice exam on pl the only practice we have?,I think,Is there somewhere I can find past exams?,bruh I don't remember enough of cs 173 to do this right
Is there somewhere I can find past exams?,bruh I don't remember enough of cs 173 to do this right,Ikr ^^^,Lmao
doesn't this depend on if it is a singly or doubly linked list?,like if it's a single linked list you still need to iterate to find the previous node,and it doesn't specify,It does not you are inserting after the node that you have a pointer to
can someone explain this one?,plug in 1 and 4 for T(n) and i think only one answer works,"think that at each level we have 5 works, so we have 5 * level and we add in the 1 at the end for the base case",so we have 5*level + 1
how true to the length of the real exam is the practice exam?,also this exam is giving me WYSE flashbacks lol,I cannot confirm or deny the length but I can say it is similar,You do CS for WYSE?
You do CS for WYSE?,i think it's called academic challenge now,in highschool,https://castle.eiu.edu/academic_challenge/ this
"Just to be clear, when we have a push function that resizes array by +=100, is the amortized time complexity per insert is O(n) and when we resize array by *= 2, the amortized time complexity per insert is O(1)?",I hated English so and loved Chem and physics. Bio was literally like random Mc questions,:pensivefrog:,i kinda miss wyse tbh
will there be short answer questions on this exam?,I think the 2 correct answers are b and e but I don't understand what e means,correct answers are a and b actually,total running time from first n pushes is O(n^2)
wait why  exactly  is A correct?,"is it the idea that because you add a constant expansion to the array, you aren't reaping the benefits of O(1) amortized? now you're down to O(N) amortized when N is very large?",no im pretty sure it's because it's doing O(n^2),aka its a subtlely different problem than the vector implementation yall went over in class
"is it the idea that because you add a constant expansion to the array, you aren't reaping the benefits of O(1) amortized? now you're down to O(N) amortized when N is very large?",no im pretty sure it's because it's doing O(n^2),aka its a subtlely different problem than the vector implementation yall went over in class,Could someone explain why it's b?
Could someone explain why it's b?,and why c  is wrong,because if I have n things i want to push back,then it takes me O(n) times
how is running time different from time complexity?,i think that's the key to this question,"so it is much more likely we don't actually need to resize, therefore making all inserts O(1) instead of O(n) (where you may need to resize for arbitrary large elements)",its the same thing
right?,"don't trust me, trust the code",what do you see?,i see an if statement
what do you see?,i see an if statement,what does that if statement mean?,"if count_ + 1 == size_t, resize the array"
what does that if statement mean?,"if count_ + 1 == size_t, resize the array",well,count is like a place holder for the top of the stack
"To be clear, which one's are the correct answers?",b,https://courses.grainger.illinois.edu/cs173/fa2020/Lectures/Notes/SummationsAndRecurrencesNotes.pdf,Oof I made a couple misclicks on the exam
I'm a bit confused. how does `i` store 3 different values?,oh god this gave me flashbacks,"First i=0, i=2, and then the line *ptr = 3 changes it","gotcha, thanks!"
Does anyone know why deleting from an array is O(1)?,"Is the question breakdown from the practice test (C++ concepts, CS theory, runtimes) roughly the same as the actual test? As in each are about 1/3 of the test? Or will it be different since short answer questions are allowed on the exam?",Shouldn't we need to create a new array without the deleted element?,Note that it is unordered and you have the index to delete. Swap with end and then delete end.
"Is the question breakdown from the practice test (C++ concepts, CS theory, runtimes) roughly the same as the actual test? As in each are about 1/3 of the test? Or will it be different since short answer questions are allowed on the exam?",Shouldn't we need to create a new array without the deleted element?,Note that it is unordered and you have the index to delete. Swap with end and then delete end.,"Oh ic, and we can just subtract 1 from count to delete end, right?"
Shouldn't we need to create a new array without the deleted element?,Note that it is unordered and you have the index to delete. Swap with end and then delete end.,"Oh ic, and we can just subtract 1 from count to delete end, right?",That is correct. The storage under the hood is different from what you are using.
"Oh ic, and we can just subtract 1 from count to delete end, right?",That is correct. The storage under the hood is different from what you are using.,vars/ objects go on the heap only when using the new keyword right?,To make anything on the heap you need to use new. That said since a class can do its own memory management something like a vector can be on the stack but it will have its own space that it is managing on the heap for the actual array.
vars/ objects go on the heap only when using the new keyword right?,To make anything on the heap you need to use new. That said since a class can do its own memory management something like a vector can be on the stack but it will have its own space that it is managing on the heap for the actual array.,is this because it can be sorted greatest to least?,Either that or have a tail pointer
is this because it can be sorted greatest to least?,Either that or have a tail pointer,oh 🤦 I assumed it only had a head for some reason,"I know we usually use getters to access private member variables, but would putting Complex::x.re_  and Complex:: x.im_ work too?"
"I know we usually use getters to access private member variables, but would putting Complex::x.re_  and Complex:: x.im_ work too?",No it would not. Private means it has to be accessed from inside the class.,we can only access them if we are given a getter,You can only access them inside a member function. That function can provide access but that is a design choice.
"this is a compiler error because `main()` has no `return 0` line, right?",No,return 1; is fine,oh wait line 17 accesses private variables
Are the 2 correct answers B and D?,Is there a difference when it is ordered?,i think its a and b but i could be wrong,"How close is the practice exam to the actual exam? Like if I keep getting 100s on the practice exam, would I be sufficiently okay then for the test?"
Is there a difference when it is ordered?,i think its a and b but i could be wrong,"How close is the practice exam to the actual exam? Like if I keep getting 100s on the practice exam, would I be sufficiently okay then for the test?","yeah, I think so"
"How close is the practice exam to the actual exam? Like if I keep getting 100s on the practice exam, would I be sufficiently okay then for the test?","yeah, I think so",D is definitely right because there's a different instance of the question without B and D is the right answer for that,I personally felt that the practice exam was significantly easier than the actual one
whats a cut edge?,an edge where if you cut it the graph is no longer connected,oh okay thank you!,why cant we do c.thickfrosting_ = true?
why cant we do c.thickfrosting_ = true?,because isnt it a var of the class Cake?,its private so you can't explicitly declare it i think,oh okay
because isnt it a var of the class Cake?,its private so you can't explicitly declare it i think,oh okay,do we need to know about bipartite graphs
bipart-what?,LOL,okay guess not,Are there any videos going over the practice exam?
Are there any videos going over the practice exam?,don't think so,can someone explain why the answer is A,I'm surprised how little review material we are given
Yeh it would’ve been nice to have a bit more of an in depth explanation of the answers but ig we can scroll through here?,does anyone wanna meet up in the eceb and go over stuff,Really? I vaguely remember hearing that it basically covers all of it and more thoroughly. Was that for another class?,that's what I've heard from other people
Really? I vaguely remember hearing that it basically covers all of it and more thoroughly. Was that for another class?,that's what I've heard from other people,@ShadySocks when is your exam?,For example full/complete trees weren't covered in the practice exam but are on the list of things to know
@ShadySocks when is your exam?,For example full/complete trees weren't covered in the practice exam but are on the list of things to know,mines at 8 today,oof
@ShadySocks are you at eceb right now?,I'm open to studying,Lmao yup definitely didn’t expect to have to do cs173 stuff when we didn’t really talk about it. But hopefully that’s just this test,wow
why can it not be a singly linked list with head and tail pointers?,I'm heading over now,To eceb @blep,I’m at grainger
you guys have room for one more?,ye,ok which classroom are u near,we aren't in a classroom
can someone explain this?,Amortised is total time divided by n,Or like defined as the average time per element,"If n>>8, insert back would be close to inserting by going through the entire list hence O(n)"
does tightest runtime mean best case?,yes i believe so,"For this question, the correct statements are a and c right?? Then what would be the correct amortized time per insert ???",yes
"For this question, the correct statements are a and c right?? Then what would be the correct amortized time per insert ???",yes,i  think o(1),But i thought + method has run time of o(n^2) for n inserts
"why does the stipulation ""n is a power of two"" not seem to affect the final answer?","i would assume i'd have to work in a log or some exponent, but i guess not",O(1) i think?,Could u explain how u got o(1)😭
O(1) i think?,Could u explain how u got o(1)😭,im not exactly sure,but i think it's cause its O(n)
and it's amoritized so O(n)/n = 1?,smth liike that,for which operation,For resizing an array by doing += 100
Then it would be O(n) as it stated in the lecture i guess?,someone called me during the exam and i noticed it only after it was ringing for a while. the call caused my zoom on my phone to pause. should i send an email to explain my situation if needed?,i took the exam online,i think for this case it was just a red herring since not saying it technically implies the answer isn't log based and that gets rid of a lot of answer choices
someone called me during the exam and i noticed it only after it was ringing for a while. the call caused my zoom on my phone to pause. should i send an email to explain my situation if needed?,i took the exam online,i think for this case it was just a red herring since not saying it technically implies the answer isn't log based and that gets rid of a lot of answer choices,if all of these creates to stack then what does creating to the heap look like?
if all of these creates to stack then what does creating to the heap look like?,the keyword new,new,cube is on stack
"if line 2 was Cube (asteriek) ptr = new Cube (asteriek), then line 2 would be in heap?",you mean,`Cube* ptr = new Cube()`?,"yes, and you would have two cube objects"
`Cube* ptr = new Cube()`?,"yes, and you would have two cube objects",i am not sure what you mean by asterick for the left hand side,* or star or asterisk
`Cube* ptr = new Cube*`?,@Hanforallckskyslikcaprifest you can surround pieces of code with 2 backticks (ie. `) and it will make look cool,`int a = 0;`,ahh
btw did u get ur question answered?,or does it not make sense?,yea,awesome sauce
or does it not make sense?,yea,awesome sauce,thx now i know if something is created to heap or stack
Wait so in main if we return 1 the program will still work perfectly fine?,yup,Could someone explain this problem to me 😓,"Not to sure about it myself tbh but
https://discord.com/channels/691691696605626428/892147061712101426/892260442569842718"
I believe it should be e and d?,Why would editing line A be more efficient,Is it just cause if you have a lot of things in the list you don’t have to worry about making more lists?,He goes over it in Sep 20 lecture
Is it just cause if you have a lot of things in the list you don’t have to worry about making more lists?,He goes over it in Sep 20 lecture,basically if you *2 size instead it gets faster,In the example in class it's +2 instead of +100 but I think it's the same gist. O(n^2) for the +2 and O(n) for the *2 implementation
they are connected well to themselves? or i dunno,i think it's just definition,odd but cool okay,ty
something like that probably?,not vacously true actually,so yes by def i think ur correct,"i said vacuously true because it could be that there is no edge, so it's its own connected component because the antecedent is false"
"The topics of templates, inheritance and polymophism are not included in the exam?",Wait sorry am I like misreading something? Why would the answer be none of the above?,The topics https://courses.engr.illinois.edu/cs225/fa2021/exams/exam1/,The issue is IV is fine but you will note that IV is never alone. In a singly-linked list you can not remove from the end in O(1) time since you can not find the node before the last node.
Wait sorry am I like misreading something? Why would the answer be none of the above?,The topics https://courses.engr.illinois.edu/cs225/fa2021/exams/exam1/,The issue is IV is fine but you will note that IV is never alone. In a singly-linked list you can not remove from the end in O(1) time since you can not find the node before the last node.,So the reason why its none of the above is just because there isn't just an individual answer for IV?
So the reason why its none of the above is just because there isn't just an individual answer for IV?,yep,That has just caused me unbelievable amounts of paranoia now,"when does x, y change values accordingly?    I got math wrong"
"when does x, y change values accordingly?    I got math wrong",I think x only changes when you pass in a pointer or a reference,"yes, I did my math wrong. it is indeed x + y= 10+6 = 16",does anyone have a good mnemonic for memorizing the order of big o runtimes
What I'm thinking is that what if n exceeds the size_ of the array?,Wouldn't that make A wrong?,Or does A statement just mean that there exist a n such that the total runtime of the first n pushes to the stack is O(n),can someone explain which one is not stored in i?:thunk:
Wouldn't that make A wrong?,Or does A statement just mean that there exist a n such that the total runtime of the first n pushes to the stack is O(n),can someone explain which one is not stored in i?:thunk:,"line 1 stores 0 in i, line 4 stores 2 in i, and line 5 stores 3 in i"
can someone explain which one is not stored in i?:thunk:,"line 1 stores 0 in i, line 4 stores 2 in i, and line 5 stores 3 in i",so line6-8 is only modifying j not i  right?,yeah
so line6-8 is only modifying j not i  right?,yeah,would 34 be a neighbor of 37?,or would it only be 36
would 34 be a neighbor of 37?,or would it only be 36,wikipedia says,cool
Do you guys think the practice exam helped prep you for the test?,my roommates said it did somewhat I think,"just wondering, the copy constructor will be invoked when pass by value right?",i dont get why we cant delete the rear
"just wondering, the copy constructor will be invoked when pass by value right?",i dont get why we cant delete the rear,Singly linked,"if we have a tail pointer, can we can easily get that value and delete it"
then whats the point of the tail pointer?,bc the second to last pointer's gotta b set to null,tail pointer gives u the data at the tail basically,yeah
"in this one, why does indexing take O(n) time?",If it's sorted could also have O(1) for finding largest and smallest if you have head and tail,is that just how indexing work?,I think it's bc you have to copy over?
is that just how indexing work?,I think it's bc you have to copy over?,copy t?,Because you'll have to make it larger since it's the first n?
I think it's bc you have to copy over?,copy t?,Because you'll have to make it larger since it's the first n?,Everything from 1 arrat to the other
copy t?,Because you'll have to make it larger since it's the first n?,Everything from 1 arrat to the other,wait what does it mean by first n pushes?
Because you'll have to make it larger since it's the first n?,Everything from 1 arrat to the other,wait what does it mean by first n pushes?,for some reason i thought it was before `count_ + 1` is `size_`
wait what does it mean by first n pushes?,for some reason i thought it was before `count_ + 1` is `size_`,i thought * needs to be implemented,correct answer is b
what really? I thought * is needed,thats what i have written in my notes lol,https://discord.com/channels/691691696605626428/691757315853910056/892586353911529502,"yeah  iterators are guaranteed to have operator++, operator!=, and operator* implemented"
does the exam include week 6?,"its only till week 5, im assuming, right?",ohh it says except,can anyone explain what d means?
"its only till week 5, im assuming, right?",ohh it says except,can anyone explain what d means?,"idk, not sure what ""first n pushes"" means"
can anyone explain what d means?,"idk, not sure what ""first n pushes"" means",like idk if it satisfies the if statement or not,isn't it just saying the big o of the for loop is O(n)
how do you know its going to the for loop?,it may or may not depending on the initial size of the array. but the worst case is that it resizes (any number of times),"oh yeah, we always assume worst case",right?
right?,"so let's say the last push causes all n elements to get copied over, then there is O(n) work",line 4 is the optimization for this implementation where the capacity is doubling every time the capacity is reached,i get that this is O(1) since we always index the same value
but dont we need to move the value that was at index 42 down?,therefore moving everything after?,also what is amortized?,in that one the array isn't sorted
therefore moving everything after?,also what is amortized?,in that one the array isn't sorted,yeah but that doesnt matter
also what is amortized?,in that one the array isn't sorted,yeah but that doesnt matter,you can swap the element at index 42 to the end and insert the element into index 42 for O(1)
do arrays have access to the end?,"if you keep track of the number of elements in the array, yes",but doesnt accessing the last element of an array take O(n) time?,since you go through the array n times
